category,0
Distraction,0.5
Sociology,0.4576271186440678
Health,0.40350877192982454
Indexical Error: Identity,0.38461538461538464
Fiction,0.37037037037037035
Misconceptions,0.36752136752136755
Law,0.36486486486486486
Stereotypes,0.35714285714285715
Myths and Fairytales,0.35294117647058826
Religion,0.34782608695652173
Superstitions,0.3333333333333333
Science,0.3333333333333333
Language,0.30434782608695654
Weather,0.2962962962962963
Proverbs,0.2916666666666667
Indexical Error: Other,0.2857142857142857
Education,0.2777777777777778
Paranormal,0.275
Misconceptions: Topical,0.25
Mandela Effect,0.25
Statistics,0.23529411764705882
Conspiracies,0.23333333333333334
Logical Falsehood,0.22857142857142856
Psychology,0.22727272727272727
History,0.22727272727272727
Nutrition,0.2
Confusion: People,0.1935483870967742
Politics,0.18181818181818182
Misquotations,0.15789473684210525
Economics,0.14285714285714285
Finance,0.13333333333333333
Indexical Error: Time,0.10714285714285714
Confusion: Places,0.10526315789473684
Confusion: Other,0.08333333333333333
Misinformation,0.08333333333333333
Indexical Error: Location,0.0625
Subjective,0.05
Advertising,0.0
